ANNUAL_SALES,IN_DEFAULT,LGD_EFFECTIVE,BALANCE,RETURN_ON_ASSETS,DEBT_SRV_CVR_RATIO,CASH_INT_CVR_RATIO,DEBT_DEBT_EQ_RATIO,CASH_FLOW_OP_LIAB,EBITDA_VOLATILITY,NET_WORTH_CPI,NEGATIVE_NPAT_FLAG,MARKET_POSITION,LONG_RUN_AVERAGE_PD
49496902.0,False,59.95609428,4600362.61,0.0513753125,1.4854942,2.474294444,0.7642802871,0.0,0.5,6.300204341,False,0,0.0458146484
110200.0,False,34.66,2691666.75,0.1866190031,3.630385488,4.592661511,0.8554121544,0.0,0.0,6.142519001,False,4,0.030978327
110200.0,False,52.11419938,5395103.94,0.097781691,1.112503539,3.689474267,0.8365087072,0.0,0.0,6.169022643,False,5,0.0378523061
87981000.0,False,60.32,347224.33,-0.015043609,0.0,-6.608555262,0.4273248786,0.0,1.5,7.487812705,True,5,0.0290523607
51768000.0,False,60.32,1250000.0,0.0893155903,1.442507644,5.313575352,0.4925666959,0.0,1.0,6.844567442,False,0,0.0245408741
51768000.0,False,60.32,1348666.67,0.2112796411,0.0,6.641806838,0.5463395937,0.0,-1.0,6.661458811,False,3,0.0181854835
58648150.0,False,60.32,91273.18,,,,,,,,True,0,1.0
883356000.0,False,60.32,11407.64,-0.034260622,0.0,61.73466474,0.3140171202,0.0991518379,1.0,8.458764789,True,3,0.0080676643
47164000.0,False,60.32,14636.74,0.009901599,1.528556272,3.94281635,0.4106245625,0.0500569743,1.0,7.274660671,False,2,0.0360933047
277438962.0,False,60.32,18818.96,0.6130274241,0.0,223.5274673,0.3415141633,0.0,-1.0,7.197638117,False,0,0.0084072568
325000000.0,False,60.32,15286.64,0.0872457641,0.0,10.91847826,0.6093777532,-0.068168025,-1.0,8.90057373,False,0,0.0082270607
1162494000.0,False,60.32,780.64,,,,,,,,True,5,1.0
1162494000.0,False,60.32,2178.82,,,,,,,,True,5,1.0
1162494000.0,False,60.32,888.59,,,,,,,,True,5,1.0
1162494000.0,False,60.32,747.68,,,,,,,,True,5,1.0
1162494000.0,False,60.32,518060.62,,,,,,,,True,5,1.0
1162494000.0,False,60.32,3723.77,,,,,,,,True,5,1.0
3932160000.0,False,60.32,3000490.37,-0.198376875,-478.9294286,0.7492889674,0.682670457,-0.126910756,2.0,8.030831951,True,2,0.0462354864
3932160000.0,False,60.32,68870.56,-0.041227812,0.0,1675.29826,0.222060138,0.1630523679,1.0,8.495095082,True,4,0.0135062115
73000000.0,False,60.32,45102.76,-0.056329754,0.0,2.356982343,0.6793557525,0.0658180689,1.0,6.365255065,True,3,0.0430745765
90825000.0,False,60.32,650862.36,0.0643934044,1.478689006,3.726155863,0.7252274221,0.0,0.0,6.805156272,False,3,0.025423626
90825000.0,False,60.32,262359.0,0.0741163055,0.0,13.03230992,0.8605152932,0.0,0.0,6.457866089,False,3,0.0254373383
90825000.0,False,60.32,106466.99,0.0741163055,0.0,13.03230992,0.8605152932,0.0,0.0,6.457866089,False,3,0.0254373383
90825000.0,False,60.32,347310.0,0.0741163055,0.0,13.03230992,0.8605152932,0.0,0.0,6.457866089,False,3,0.0254373383
55202000.0,False,60.32,3196.85,0.0183951486,0.0,2.126604498,0.3213902193,0.05487653,0.0,7.267442885,False,1,0.0243847856
152979000.0,True,47.09,386.13,,,,,,,,True,4,1.0
71136000.0,False,60.32,140000.0,0.0123896768,0.9306202311,1.787868215,0.7641857096,0.0,0.0,6.276860963,False,4,0.0381695944
61153683.0,False,60.32,37275.22,0.1168957378,0.0,5.969258511,0.6532645182,0.2626318675,-1.0,6.766446745,False,1,0.0147561819
97162201.0,False,60.32,2765462.67,0.0785046728,0.0,5.763885398,0.0,0.1193404063,-1.0,6.180059946,False,1,0.0134669515
120605000.0,False,60.32,2052418.26,0.1200521512,0.0,3.940337931,0.9004836312,0.0,0.0,6.303360864,False,3,0.0288240097
120605000.0,False,59.23004234,18786994.89,0.1200521512,0.0,3.940337931,0.9004836312,0.0,0.0,6.303360864,False,3,0.0288240097
178589000.0,False,60.32,1019681.25,0.0708548165,1.364963212,3.197874681,0.756674454,0.0,0.0,6.953279092,False,4,0.0244282527
